elife_group,elife_id,key_recovery,elife_ref_mean,elife_ref_std,elife_ref_n,349_total,349_left,349_right,349_LR_ratio,357_total,357_left,357_right,357_LR_ratio,367_total,367_left,367_right,367_LR_ratio,mean_total,mean_left,mean_right,mean_LR_ratio,pct_vs_elife,LR_ttest_t,LR_ttest_p,LR_sig,LR_direction,LR_cohens_d,LR_effect
Superior Olivary Complex,12,,28,21,4,0,0,0,NA,18,17,1,17.0,33,21,12,1.75,17.0,12.7,4.3,2.923,-39.3%,1.8,0.2137,ns,L>R,1.039,large
Pontine Trigeminal Area,13,,44,25,4,43,40,3,13.333,82,58,24,2.417,75,31,44,0.705,66.7,43.0,23.7,1.817,+51.5%,1.194,0.3548,ns,L>R,0.689,medium
Pontine Central Gray Area,14,YES,572,167,4,1200,558,642,0.869,1254,673,581,1.158,784,496,288,1.722,1079.3,575.7,503.7,1.143,+88.7%,0.848,0.4856,ns,L>R,0.49,small
Parabrachial / Pedunculopontine,15,YES,364,216,4,507,204,303,0.673,610,322,288,1.118,290,119,171,0.696,469.0,215.0,254.0,0.846,+28.8%,-1.002,0.4221,ns,R>L,-0.578,medium
Cerebellospinal Nuclei,16,,310,193,4,241,142,99,1.434,112,77,35,2.2,34,31,3,10.333,129.0,83.3,45.7,1.825,-58.4%,7.779,0.0161,*,L>R,4.491,large
Red Nucleus,17,YES,610,86,4,1522,902,620,1.455,1658,758,900,0.842,1326,829,497,1.668,1502.0,829.7,672.3,1.234,+146.2%,1.046,0.4052,ns,L>R,0.604,medium
Midbrain Midline Nuclei,18,,484,392,4,1054,515,539,0.955,934,458,476,0.962,616,246,370,0.665,868.0,406.3,461.7,0.88,+79.3%,-1.61,0.2488,ns,R>L,-0.929,large
Midbrain Reticular Nuclei,19,,772,554,4,1572,669,903,0.741,947,447,500,0.894,879,444,435,1.021,1132.7,520.0,612.7,0.849,+46.7%,-1.271,0.3315,ns,R>L,-0.734,medium
Periaqueductal Gray,20,,326,324,4,882,261,621,0.42,751,474,277,1.711,504,181,323,0.56,712.3,305.3,407.0,0.75,+118.5%,-0.627,0.5945,ns,R>L,-0.362,small
Hypothalamic Periventricular Zone,21,,26,23,4,616,180,436,0.413,263,210,53,3.962,74,6,68,0.088,317.7,132.0,185.7,0.711,+1121.8%,-0.45,0.6969,ns,R>L,-0.26,small
Hypothalamic Lateral Area,22,,473,374,4,1198,511,687,0.744,927,566,361,1.568,1234,796,438,1.817,1119.7,624.3,495.3,1.26,+136.7%,0.813,0.5018,ns,L>R,0.469,small
Hypothalamic Medial Area,23,,86,103,4,62,38,24,1.583,249,163,86,1.895,221,149,72,2.069,177.3,116.7,60.7,1.923,+106.2%,2.667,0.1165,ns,L>R,1.54,large
Thalamus,24,,96,151,4,167,31,136,0.228,17,12,5,2.4,13,5,8,0.625,65.7,16.0,49.7,0.322,-31.6%,-0.941,0.4461,ns,R>L,-0.543,medium
Corticospinal,25,YES,6500,1500,4,5426,2802,2624,1.068,2241,607,1634,0.371,2827,2673,154,17.357,3498.0,2027.3,1470.7,1.379,-46.2%,0.535,0.6463,ns,L>R,0.309,small
Unused,30,,0,0,0,16,5,11,0.455,78,59,19,3.105,35,18,17,1.059,43.0,27.3,15.7,1.745,,0.815,0.5006,ns,L>R,0.471,small
"TOTAL (eLife-mapped, suspicious excluded)",99,,22387,,4,24560,11438,13122,0.872,20648,9999,10649,0.939,19230,10640,8590,1.239,21479.3,10692.3,10787.0,0.991,-4.1%,-0.085,0.94,ns,R>L,-0.049,negligible
